This,this,21.219999,21.289999
is,is,21.46,21.650000000000002
Los,los,21.66,21.94
Angeles,angeles,21.94,22.77
And,and,22.81,22.959999999999997
it's,it's,22.96,23.12
the,the,23.12,23.25
height,height,23.25,23.54
of,of,23.54,23.669999999999998
summer,summer,23.67,24.25
In,in,24.509999999999998,24.639999999999997
a,a,24.64,24.72
small,small,24.72,25.14
bungalow,bungalow,25.14,25.75
off,off,25.75,26.02
of,of,26.03,26.04
La,la,26.05,26.07
Cienega,<unk>,26.36,26.97
Clara,clara,27.21,27.650000000000002
serves,serves,27.65,28.08
homemade,homemade,28.08,28.58
chili,chili,28.58,28.959999999999997
and,and,28.96,29.11
chips,chips,29.11,29.509999999999998
in,in,29.509999,29.649999
red,red,29.65,29.869999999999997
plastic,plastic,29.869999999999997,30.389999999999997
bowls,bowls,30.389999,30.989999
wine,wine,31.25,31.7
in,in,31.7,31.81
blue,blue,31.809998999999998,32.039998999999995
plastic,plastic,32.04,32.82
The,the,33.099999,33.229999
colors,colors,33.230000000000004,33.660000000000004
don't,don't,33.66,33.879999999999995
match,match,33.88,34.220000000000006
and,and,34.219999,34.269999
the,the,34.309999000000005,34.409999000000006
cups,cups,34.41,34.76
are,are,34.760000000000005,34.82000000000001
too,too,34.82,35.03
big,big,35.029999000000004,35.279999000000004
to,to,35.289999,35.419999000000004
serve,serve,35.42,35.74
wine,wine,35.75,36.28
You,you,36.74,36.88
didn't,didn't,36.88,37.09
get,get,37.09,37.300000000000004
half,half,37.31,37.53
the,the,37.53,37.63
things,things,37.63,37.92
on,on,37.92,38.03
my,my,38.03,38.19
list,list,38.19,38.55
she,she,38.56,38.77
hisses,hisses,38.77,39.11000000000001
at,at,39.11,39.23
Gary,gary,39.23,39.61
as,as,39.61,39.74
he,he,39.74,39.82
passes,passes,39.82,40.55
He,he,40.84,40.96
shrugs,<unk>,41.68,41.69
No,no,41.99,42.18
one,one,42.18,42.38
seems,seems,42.38,42.690000000000005
to,to,42.69,42.83
mind,mind,42.83,43.17
but,but,43.17,43.33
her,her,43.33,43.769999999999996
Did,did,44.2,44.400000000000006
you,you,44.4,44.47
have,have,44.47,44.66
to,to,44.66,44.75
buy,buy,44.75,45.0
a,a,45.0,45.07
four,four,45.07,45.29
hundred,hundred,45.29,45.54
dollar,dollar,45.54,45.839999999999996
bottle,bottle,45.84,46.14
of,of,46.139999,46.199999000000005
Scotch,scotch,46.21,46.99
Gary,gary,47.17,47.58
waves,waves,47.58,47.91
away,away,47.91,48.239999999999995
her,her,48.24,48.39
upset,upset,48.389999,48.999999
He,he,49.24,49.410000000000004
seems,seems,49.41,49.769999999999996
distracted,distracted,49.769999999999996,50.779999999999994
Guilty,guilty,50.929999,51.329999
of,of,51.33,51.46
something,something,51.46,52.12
She,she,52.41,52.58
can,can,52.58,52.72
